narr86,pcnv,avgsen,tottime,ptime86,qemp86
1,0,0,0,0,4
1,0.4,0,0,0,2
2,0,19.3,19.3,0,3
0,0.44,10,20,0,4
0,0,0,0,0,4
0,0.43,22,22,0,3
0,1,0,0,0,2
1,0.33,9.7,19.4,0,2
0,0,0,0,0,2
1,0.44,0,0,0,4
0,0,0,0,0,0
0,1,0,0,0,4
0,0.2,0,0,0,4
0,1,0,0,0,0
0,0.17,0,0,0,0
1,0.33,6.1,12.2,0,1
2,0,0,0,0,3
1,0.33,0,0,0,2
2,1,0,0,0,4
0,0,0,0,0,1
0,0.43,0,0,12,0
0,0.62,0,0,0,0
3,1,0,0,0,2
0,1,0,0,0,4
0,0.5,0,0,0,3
0,0.4,14.8,29.6,0,4
0,0.5,0,0,0,3
0,0.57,0,0,0,3
0,0.33,0,0,0,0
1,0,0,0,0,0
0,0.33,0,0,0,3
0,1,0,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,1,0,0,0,1
0,0.57,0,0,0,0
0,0.33,0,0,0,1
0,0.5,0,0,0,4
1,0,0,0,0,3
1,0.22,13.7,13.7,0,0
0,0.6,0,0,12,0
2,0.5,0,0,0,2
0,0.8,15,30,7,0
1,0,0,0,0,3
3,0.5,0,0,0,1
0,0.29,0,0,0,4
0,0.5,0,0,0,2
1,0.44,12.4,12.4,2,1
0,0,0,0,0,4
0,0.5,0,0,0,3
0,0,0,0,0,0
0,0.5,0,0,0,4
1,0.38,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,12,0
0,0.3,0,0,0,1
0,0.5,0,0,0,0
0,0.4,0,0,0,0
0,0.67,0,0,0,4
0,0.33,8.6,8.6,0,3
0,1,0,0,0,4
0,1,0,0,0,4
0,1,0,0,0,1
0,0,0,0,0,2
1,0.33,0,0,0,4
0,0.08,0,0,0,0
0,0.38,9.6,9.6,6,1
0,0.67,0,0,0,4
0,1,0,0,0,4
1,0.6,0,0,0,4
1,1,0,0,0,2
0,0,0,0,0,4
0,0.5,0,0,0,1
0,0.4,0,0,0,1
0,0.75,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,1
0,0.5,0,0,0,3
0,0.57,0,0,0,0
0,0.25,0,0,0,4
0,0.5,0,0,0,4
0,1,0,0,0,3
0,0,0,0,0,0
0,0.29,0,0,11,0
0,0.5,0,0,0,2
0,1,0,0,0,4
0,0.17,0,0,0,3
0,0,0,0,0,4
4,0.36,0,0,3,0
0,0.5,0,0,0,3
0,0.5,0,0,0,3
0,0.29,0,0,0,4
2,0.5,0,0,0,3
0,0.33,0,0,0,4
0,1,0,0,0,4
1,0.67,0,0,0,1
0,0.5,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0.67,0,0,0,4
0,0.5,0,0,0,1
0,0,0,0,0,4
0,0.36,0,0,0,2
0,0.11,0,0,0,3
0,0.5,15.7,15.7,0,3
0,0.25,0,0,0,4
0,0.33,11.7,11.7,2,3.4
0,0.33,0,0,0,3
0,0,0,0,0,4
0,0.42,0,0,0,0
0,0.5,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,4
2,0.25,0,0,0,3
0,0,0,0,12,0
1,0.5,0,0,0,2
0,0.33,0,0,0,0
0,0.6,0,0,0,4
2,0,0,0,0,0
0,0.33,0,0,0,2
1,1,0,0,0,3
0,1,0,0,0,0
0,0,0,0,0,3
1,0.2,0,0,0,4
1,0,0,0,0,1
0,1,0,0,0,4
0,0.54,7.1,21.3,12,0
0,0.33,0,0,0,1
0,0,0,0,0,4
0,0.5,0,0,0,4
2,0,0,0,0,4
0,1,0,0,0,4
1,1,0,0,0,4
2,0.75,16.1,16.1,1,0
0,0,0,0,0,4
0,1,0,0,0,2
2,0.5,0,0,0,1
0,0.33,0,0,0,4
0,0.6,0,0,0,3
0,0,0,0,0,4
0,0.5,0,0,0,3
1,0,0,0,0,1
0,0.56,0,0,0,4
0,0,0,0,0,4
2,0.57,0,0,4,0
0,0.33,0,0,0,4
1,0.6,11.8,11.8,0,2
0,1,0,0,0,1
3,0.5,0,0,0,0
2,0.75,0,0,0,0
0,0.67,0,0,12,0
0,0.25,0,0,12,0
3,1,0,0,0,1
0,1,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0.5,17.7,35.4,2,0
0,0.5,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,0
0,1,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,3
0,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,4
3,0.38,16,32,2,1
0,1,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,2
0,0.44,0,0,0,2
0,0.25,0,0,0,0
0,0,0,0,0,4
0,0,0,0,0,4
0,0.38,40.5,40.5,11,0
0,0.5,0,0,0,3
0,0.5,0,0,0,3
0,1,0,0,0,4
1,0.5,18.9,18.9,0,2
0,0.5,0,0,0,1
1,0.38,0,0,0,0
0,0,0,0,0,3
0,0,0,0,0,2
0,0,0,0,0,4
0,0.6,0,0,0,2
2,0,12.1,24.2,0,2
0,0.31,4,4,0,0
0,0.33,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,0
1,1,0,0,0,3
2,0.2,0,0,0,2
0,0.33,0,0,0,4
0,0.4,3.5,7,0,0
0,0.33,0,0,0,1
0,1,0,0,0,4
0,0,0,0,0,3
0,0.67,0,0,0,3
1,0.33,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0.5,0,0,0,3
0,0.64,12.5,12.5,12,0
0,0,0,0,0,4
0,0.33,47.1,47.1,12,0
0,1,0,0,0,2
0,1,0,0,0,4
0,0.75,0,0,0,2
1,0,0,0,0,0
0,0.25,0,0,0,4
0,0.67,0,0,0,4
0,1,0,0,0,3
0,0.33,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,4
1,0.2,0,0,0,4
0,0.25,0,0,0,0
0,1,0,0,0,2
0,0.4,0,0,0,0
0,1,0,0,0,4
1,0.57,0,0,0,0
0,1,0,0,0,2
0,0,0,0,0,0
0,1,0,0,0,3
0,0,0,0,0,4
0,0.67,0,0,0,0
1,0.6,8.3,8.3,0,3
0,0.5,0,0,0,4
0,1,0,0,0,3
0,1,0,0,0,4
0,0.14,0,0,0,0
0,1,0,0,0,4
0,0.5,0,0,0,2
0,0.5,0,0,0,1
1,0.2,0,0,0,0
0,1,0,0,0,0
0,0.43,0,0,0,0
1,0.3,5.6,11.2,6,1
0,0,0,0,0,4
0,0,0,0,0,1
0,1,0,0,0,4
0,0.67,0,0,0,2
0,0,0,0,0,2
1,0.5,0,0,0,0
0,0.67,0,0,0,4
0,0.67,7.1,7.1,0,0
0,1,0,0,0,2
0,0,0,0,0,3
2,1,0,0,0,1
1,0.29,0,0,0,0
0,1,0,0,0,3
0,1,0,0,0,2
1,0.5,0,0,0,4
0,0,0,0,0,1
0,0.4,0,0,0,4
2,0.2,0,0,0,0
0,0.4,0,0,0,0
0,0,0,0,0,4
0,1,0,0,0,1
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,1
0,0,0,0,0,4
0,0,0,0,0,0
1,0.33,0,0,0,2
0,1,0,0,0,1
0,0,0,0,0,2
0,0.42,0,0,0,1
0,0.25,0,0,0,2
0,0.33,9.9,9.9,0,4
1,0,39,39,0,2
0,1,0,0,0,0
0,0,0,0,0,2
0,0,0,0,0,0
0,0.5,0,0,0,0
0,0.57,9.7,29.1,12,0
0,0.33,0,0,0,2
0,1,0,0,0,4
0,0.5,0,0,0,4
1,0.67,0,0,0,4
2,0,0,0,0,1
0,0.25,0,0,0,1
3,0.42,0,0,0,0
0,0.64,0,0,0,4
1,0.56,0,0,0,0
0,0.5,0,0,0,2
0,1,0,0,0,0
0,0.43,0,0,0,3
0,0.5,0,0,0,4
0,0.33,0,0,0,1
1,0,0,0,0,4
1,0.75,0,0,0,4
1,0,0,0,0,0
1,0.2,11.9,11.9,0,0
0,0.67,0,0,0,2
0,0,0,0,0,4
0,1,0,0,0,0
0,1,0,0,0,4
1,0.5,0,0,0,1
1,1,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,3
2,0.63,0,0,0,0
1,1,0,0,0,2
0,1,0,0,0,4
0,1,0,0,0,0
0,0.5,0,0,0,4
0,0,0,0,0,3
0,1,0,0,0,4
1,0.4,0,0,0,0
1,0.5,0,0,0,2
0,0.33,4.3,12.9,0,0
0,0.2,0,0,0,0
0,1,0,0,0,4
1,0.25,13.3,13.3,1,0
1,1,0,0,0,0
0,1,0,0,0,4
0,0.33,0,0,0,1
1,0.33,0,0,0,1
1,0,0,0,0,2
2,0,0,0,0,4
2,0.17,0,0,0,0
1,0.67,0,0,0,1
0,0,0,0,0,0
0,1,0,0,0,4
0,0.5,0,0,0,0
0,0.5,0,0,0,3
0,1,0,0,0,4
0,0.29,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,2
0,0.25,0,0,0,0
1,0.14,0,0,0,0
0,1,0,0,0,4
0,0.5,0,0,0,4
0,0,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,4
1,0,0,0,0,3
0,0.5,0,0,0,4
1,0.6,0,0,0,2
0,0,0,0,0,3
2,0.8,0,0,0,2
0,0.63,5.5,5.5,0,4
0,0,0,0,0,3
0,1,0,0,0,2
0,0,0,0,0,3
0,1,0,0,0,4
1,0.25,0,0,0,0
1,0,0,0,0,4
0,0,0,0,0,3
0,0.5,0,0,0,1
0,1,0,0,0,1
0,0,0,0,0,4
0,0.4,0,0,0,3
0,0,0,0,0,4
0,0,0,0,0,4
0,0.67,0,0,0,4
0,0.25,0,0,0,0
0,0.5,0,0,0,3
1,1,0,0,0,1
2,0.29,0,0,2,1
0,1,0,0,0,4
0,0,0,0,0,2
0,0.4,0,0,0,1
0,1,0,0,0,4
0,1,0,0,0,3
5,0,0,0,0,0
3,0.38,0,0,0,2
0,1,0,0,0,0
0,0,0,0,0,0
2,0.42,0,0,2,0
0,0.5,0,0,0,4
0,0.29,0,0,0,1
0,0.17,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,4
2,0.36,0,0,0,1
0,0,0,0,0,4
0,0.67,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,0
4,0.25,20.6,41.2,2,0
0,0.38,0,0,0,1
0,0,0,0,0,4
0,0,0,0,0,0
0,0.5,0,0,0,0
1,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,2
0,0.5,0,0,0,2
1,0.56,0,0,0,0
0,0.5,0,0,0,4
0,0,0,0,0,3
0,0.25,0,0,0,4
0,0,0,0,0,4
0,0.5,0,0,0,4
0,0,0,0,0,3
0,0.5,0,0,12,0
0,0,0,0,0,4
0,0.5,0,0,0,0
0,1,17,17,0,4
3,0.63,7.1,14.2,4,1
0,1,0,0,0,3
0,0,0,0,0,2
0,0,0,0,0,4
0,0.4,8.1,8.1,0,3
0,0.5,4.9,14.7,12,0
0,0.5,0,0,0,4
1,0.75,0,0,0,1
0,0,0,0,0,4
0,1,0,0,0,4
0,0.67,0,0,0,2
0,0,0,0,0,0
1,0,0,0,0,0
0,0.43,0.9,0.9,0,4
0,0.29,0,0,0,3
0,0.5,9,18,0,4
0,0,0,0,0,4
12,0.29,0,0,0,1
0,0,0,0,0,3
1,1,0,0,0,2
3,0.36,1.1,1.1,0,0
0,0.33,0,0,0,4
0,0.5,0,0,0,4
2,0.4,0,0,0,0
0,0.33,0,0,0,1
1,1,0,0,0,2
2,0,0,0,0,0
0,0,0,0,0,1
0,1,0,0,0,3
1,0.67,0,0,0,0
1,0.36,11.6,11.6,0,2
0,1,0,0,0,3
0,0,0,0,0,4
1,0.38,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0.33,0,0,0,2
0,1,0,0,0,3
1,0.17,0,0,0,4
2,0.6,2.6,2.6,0,0
0,0.67,0,0,0,1
0,0,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0.53,0,0,0,0
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,0
0,0.67,0,0,0,1
0,0.67,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0.5,0,0,0,3
0,0.25,0,0,0,3
0,1,0,0,0,2
0,0,0,0,0,2
1,0.29,0,0,0,1
1,0.33,0,0,0,4
0,0.33,0,0,0,3
0,0,0,0,0,4
1,0.33,0,0,5,0
0,0.5,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,0,3
1,0.5,0,0,0,4
0,0,0,0,0,0
0,0.5,0,0,0,3
0,0.5,0,0,0,4
0,0.33,0,0,0,2
0,0.56,0,0,0,0
0,0.14,0,0,0,3
1,0.67,0,0,0,0
0,0,11.1,11.1,0,1
0,0.5,0,0,0,2
0,1,0,0,0,4
0,0.33,0,0,0,1
2,0.4,0,0,7,1
0,1,0,0,0,0
2,0.27,0,0,0,3
9,0.5,0,0,0,1
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,4
0,1,0,0,0,3
0,0.5,11.6,23.2,0,0
1,1,0,0,0,4
0,0,0,0,0,3
0,0.67,0,0,0,2
0,0.33,0,0,0,4
0,1,0,0,0,4
5,0.45,0,0,1,0
3,0.4,0,0,0,4
0,0,0,0,0,4
1,0.5,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,3
0,0,0,0,0,3
2,0.5,0,0,0,3
1,0.5,0,0,2,0
0,1,0,0,0,0
0,0,0,0,0,4
1,0.5,0,0,0,3
0,0.38,0,0,0,0
0,0,0,0,0,0
1,0.67,23.5,23.5,0,3
0,0.43,6.1,12.2,0,0
1,0.4,0,0,0,0
1,0.4,0,0,0,0
1,1,0,0,0,1
0,0.4,0,0,0,3
0,0.5,0,0,0,4
1,1,0,0,0,4
0,0.57,0,0,0,3
0,0,0,0,0,2
2,0.29,0,0,0,1
0,0.33,12.2,12.2,0,4
0,0.5,0,0,0,3
0,0,0,0,0,3
0,0.33,0,0,0,4
0,0,0,0,0,2
0,0.5,0,0,0,4
0,0.67,0,0,0,3
0,0.32,7.2,7.2,4,0
1,0.67,8.6,8.6,3,1
0,0,30.4,30.4,0,0
0,0.5,0,0,0,0
0,1,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,4
0,1,0,0,0,3
0,0.29,0,0,0,1
1,0.4,0,0,3,0
0,0.23,0,0,12,0
0,0.5,0,0,0,4
1,0.6,0,0,6,2
0,0,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,2
0,1,0,0,0,2
0,0.5,0,0,0,3
0,0.5,0,0,0,0
2,0.29,0,0,0,1
0,1,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,0,4
0,0,0,0,0,0
0,0.5,0,0,0,3
0,0.5,0,0,0,0
0,0.67,0,0,0,4
0,1,0,0,0,0
0,1,0,0,0,4
0,0,0,0,0,0
0,1,0,0,0,2
0,1,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,0,0
0,0,0,0,0,2
0,0.6,0,0,0,3
0,0.33,0,0,0,3
0,0,0,0,0,3
0,0,0,0,0,4
1,0.5,0,0,0,0
1,0.5,0,0,0,0
0,0,0,0,0,2
0,0.25,0,0,0,0
1,0.33,0,0,0,0
1,0.5,0,0,0,1
0,0,0,0,0,4
0,0.75,0,0,0,1
0,0,0,0,0,2
0,0.67,0,0,12,0
2,0,0,0,0,2
1,0.44,0,0,0,0
0,0.29,0,0,0,3
0,1,0,0,0,3
1,0,0,0,0,3
0,0,0,0,0,1
0,0.5,0,0,0,1
1,0.2,0,0,0,1
0,0,0,0,0,2
0,0.8,8.2,8.2,0,2
0,1,0,0,0,0
0,1,0.8,0.8,0,3
6,0.25,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,4
0,0.5,0,0,0,4
0,0,0,0,0,3
0,1,0,0,0,1
0,0.33,0,0,0,4
0,0.75,0,0,0,0
0,1,0,0,0,2
0,0.7,11.9,11.9,0,4
1,0,24.6,24.6,0,0
0,0.5,0,0,0,2
0,0.5,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,3
0,0,0,0,0,4
0,1,0,0,0,0
0,0,0,0,0,3
0,0,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
0,0.18,0,0,0,1
0,0.2,0,0,0,3
0,0.33,0,0,0,1
0,0,0,0,0,4
0,0.4,0,0,0,4
0,0,0,0,0,4
2,0.38,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0.5,2.3,2.3,0,2
0,0.4,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,3
0,0,0,0,0,4
0,0.5,0,0,0,4
0,0,0,0,0,2
0,0,0,0,0,0
0,0,0,0,0,3
0,0.25,31.3,31.3,0,0
0,0,0,0,0,4
0,0.5,0,0,0,1
0,0.73,0,0,0,0
1,0.33,0,0,0,3
0,0,0,0,0,4
1,0,0,0,0,2
0,0,0,0,0,4
0,0.33,0,0,0,3
0,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,0
0,0,0,0,0,2
10,0.17,0,0,0,0
0,0.38,0,0,0,0
0,0,0,0,0,4
1,0.45,0,0,5,0
0,0,0,0,0,3
1,0.8,0,0,0,1
0,0.33,0,0,0,3
0,1,0,0,0,4
0,0.56,0,0,12,0
0,0,0,0,0,4
0,0.5,0,0,0,4
0,0.5,0,0,0,3
0,0.67,0,0,0,4
0,0,0,0,0,4
0,0.33,10.5,10.5,0,4
0,0.2,0,0,0,3
0,0.33,16.6,16.6,0,0
0,0.6,35.4,35.4,12,0
0,0.33,0,0,0,3
3,0.33,0,0,0,2
0,0,0,0,0,0
0,0,0,0,0,0
3,1,0,0,0,2
1,0.33,0,0,0,2
0,0.33,0,0,0,0
3,0.6,0,0,0,0
0,1,0,0,0,3
0,1,0,0,0,0
0,0,0,0,0,4
0,0,0,0,0,3
0,0.5,0,0,12,0
2,0,0,0,0,2
0,0.5,0,0,0,4
1,0,0,0,0,4
0,0.6,0,0,0,0
1,1,0,0,6,0
0,1,24.4,24.4,0,2
1,0.5,0,0,0,0
0,0,0,0,0,3
0,0.33,0,0,0,3
0,1,0,0,0,2
0,0.67,0,0,0,4
0,1,0,0,0,0
0,1,0,0,0,3
0,0,0,0,0,4
0,0,0,0,0,4
0,0.5,0.9,0.9,0,4
1,0.33,0,0,0,1
1,0,0,0,0,2
1,1,0,0,0,4
0,0.75,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,1
0,0.5,0,0,0,4
0,1,0,0,0,3
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,2
0,0,0,0,0,4
0,0,0,0,0,4
1,0.43,0,0,0,2
0,0.5,0,0,0,1
0,0,0,0,0,4
1,0,0,0,0,0
0,1,0,0,0,4
2,0.25,6,6,0,1
0,0.45,9.3,9.3,0,0
0,0.25,0,0,0,0
0,1,0,0,0,3
0,1,0,0,0,3
0,0,0,0,0,3
0,1,0,0,0,4
0,1,0,0,0,0
0,0.4,0,0,5,1.4
0,0.5,0,0,0,0
0,0.5,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,4
0,0.5,0,0,0,4
0,1,0,0,0,4
0,0.67,0,0,0,2
1,0,0,0,0,2
0,1,0,0,0,4
1,1,0,0,0,4
0,0,0,0,0,4
1,0.33,0,0,0,3
0,0,0,0,0,2
0,0,0,0,0,3
0,1,0,0,0,4
0,0.33,0,0,0,1
0,1,0,0,0,4
0,0.5,0,0,0,2
0,0.5,0,0,0,0
0,0,0,0,0,4
0,1,0,0,0,2
0,0,0,0,0,3
0,0.43,16.5,16.5,0,0
0,1,0,0,0,4
1,0,0,0,0,3
0,0.5,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
1,0.4,0,0,0,4
0,1,0,0,0,1
0,1,0,0,0,2
4,0.5,0,0,0,0
0,0.5,0,0,0,4
0,0.5,0,0,0,3
0,0.5,4.8,4.8,4,1
0,0,0,0,0,3
2,0,0,0,0,0
0,0,0,0,0,0
0,0.5,0,0,0,4
0,0,0,0,0,0
0,1,0,0,0,4
0,0,0,0,0,2
1,0.5,0,0,0,1
0,1,0,0,0,4
0,0,0,0,0,4
0,0.5,0,0,0,3
1,1,0,0,0,2
3,0.3,0,0,6,0.9
2,0.5,0,0,0,2
0,0.67,0,0,0,4
0,1,0,0,0,2
1,0,0,0,0,4
0,0.33,0,0,12,0
0,1,0,0,0,4
0,1,0,0,0,4
1,0,0,0,0,3
0,0,0,0,0,3
0,1,0,0,0,4
0,0.25,0,0,0,4
0,1,0,0,0,4
0,1,0,0,0,4
0,0.6,8.4,16.8,0,0
1,0,0,0,0,2
0,0.67,0,0,0,2
0,1,0,0,0,4
1,0.33,0.8,0.8,0,0
2,0.2,0,0,0,0
0,1,0,0,0,4
5,0.25,0,0,0,4
2,0.25,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,4
0,0.25,0,0,0,2
0,0.6,0,0,0,0
0,0,0,0,0,4
0,0,0,0,0,3
0,0.4,14.3,14.3,0,2
3,0.56,0,0,0,0
0,0,0,0,0,3
0,0,0,0,0,0
2,0.56,0,0,0,2
0,0.33,0,0,0,1
2,0.5,0,0,0,3
0,1,0,0,0,2
1,0.5,0,0,0,2
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,2
0,0.5,0,0,0,4
0,0.08,0,0,11,0
0,0,0,0,0,4
0,0.67,0,0,0,3
0,0.33,0,0,0,3
0,0,0,0,0,4
0,0,0,0,0,2
