chnimp,befile6,affile6,afdec6,chempi,gas,rtwex
976.5165,0,0,0,132.3,8.70E+09,99.83
1192.684,0,0,0,134.2,9.07E+09,98.56
1047.239,0,0,0,136.4,8.75E+09,93.85
944.7875,0,0,0,135.7,7.52E+09,92.46
840.0295,0,0,0,135.3,8.58E+09,92.25
578.9175,0,0,0,137.3,8.67E+09,90.51
828.1195,0,0,0,138.1,8.92E+09,89.74
1010.057,0,0,0,139.3,8.99E+09,91.58
1546.483,0,0,0,140.8,9.20E+09,93.19
1160.158,0,0,0,142.3,9.07E+09,93.6
862.68,0,0,0,142.4,8.78E+09,91.81
692.297,0,0,0,141.5,8.72E+09,91.24
451.384,0,0,0,144.4,8.73E+09,86.36
766.4015,0,0,0,147.1,9.17E+09,83.7
1794.516,0,0,0,147.9,8.78E+09,84.38
972.801,0,0,0,145.4,8.22E+09,86.1
738.5085,0,0,0,146.4,8.75E+09,84.92
786.1805,0,0,0,148.9,8.73E+09,84.18
849.065,0,0,0,149.1,8.96E+09,85.03
895.4205,0,0,0,150.5,8.83E+09,87.96
814.3615,0,0,0,153.4,9.36E+09,91.96
589.422,0,0,0,154.8,9.42E+09,93.76
529.7335,0,0,0,155.3,8.80E+09,93.7
968.0375,0,0,0,156.7,8.99E+09,90.93
794.06,0,0,0,157.5,8.92E+09,87.76
1087.806,0,0,0,159,9.55E+09,87.78
